ville;quartier;prix;surface;;nombre_de_chambres;nombre_de_salles_de_bain;etage;terrasse;garage;ascenseur;piscine;securite;quartier_key;lat;lon;nb_ecoles;nb_hopitaux;nb_pharmacies;nb_mosquees;nb_banques;nb_centres_commerciaux;prix_m2_quartier;score_commodites;bien_appartement;bien_bureau;bien_ferme;bien_local_commercial;bien_logement;bien_maison;bien_riad;bien_terrain;bien_villa
agadir;haut founty;1750000.0;107.0;;2.0;2.0;5.0;0;0;1;0;1;agadir_haut founty;30.4171311;-9.5992446;8;5;29;7;32;1;10778.533510285337;-0.06600453578194536;True;False;False;False;False;False;False;False;False
agadir;founti;1282240.0;110.0;;3.0;1.0;1.0;0;0;0;0;1;agadir_founti;30.3958144;-9.5807517;11;1;21;2;4;2;16885.607697767962;-0.35022935950064626;False;False;False;True;False;False;False;False;False
agadir;al wifaq;250000.0;188.0;;3.0;3.0;1.0;0;0;1;0;1;agadir_al wifaq;30.4171311;-9.5992446;8;5;29;7;32;1;15416.231505657091;-0.06600453578194536;False;False;False;True;False;False;False;False;False
agadir;ben serguaou;13900000.0;430.0;;5.0;4.0;3.0;1;1;0;1;1;agadir_ben serguaou;30.3895827;-9.5759264;10;1;22;4;1;2;5459.825885547702;-0.3260242399771386;False;False;False;False;False;False;True;False;False
agadir;charaf;2200000.0;150.0;;8.0;2.0;3.0;1;1;1;0;0;agadir_charaf;30.4171311;-9.5992446;8;5;29;7;32;1;18516.058394160584;-0.06600453578194536;True;False;False;False;False;False;False;False;False
agadir;hay houda;840000.0;70.0;;2.0;2.0;3.0;0;1;1;0;1;agadir_hay houda;30.399277;-9.5380547;12;3;30;6;2;0;15202.939513849631;-0.4007898467342485;True;False;False;False;False;False;False;False;False
agadir;abattoirs;896000.0;64.0;;3.0;1.0;3.0;0;0;0;0;0;agadir_abattoirs;30.4171311;-9.5992446;8;5;29;7;32;1;10505.457025920874;-0.06600453578194536;False;False;False;True;False;False;False;False;False
agadir;hay houda;935000.0;85.0;;3.0;2.0;3.0;0;1;1;1;1;agadir_hay houda;30.399277;-9.5380547;12;3;30;6;2;0;15202.939513849631;-0.4007898467342485;True;False;False;False;False;False;False;False;False
agadir;ben serguaou;3900000.0;310.0;;4.0;4.0;3.0;1;1;0;1;1;agadir_ben serguaou;30.3895827;-9.5759264;10;1;22;4;1;2;5459.825885547702;-0.3260242399771386;False;False;False;False;False;False;False;False;True
agadir;charaf;2920000.0;150.0;;3.0;2.0;3.0;1;1;0;0;0;agadir_charaf;30.4171311;-9.5992446;8;5;29;7;32;1;18516.058394160584;-0.06600453578194536;False;False;False;False;False;True;False;False;False
agadir;hay houda;1320000.0;96.0;;3.0;2.0;3.0;0;1;1;1;1;agadir_hay houda;30.399277;-9.5380547;12;3;30;6;2;0;15202.939513849631;-0.4007898467342485;True;False;False;False;False;False;False;False;False
agadir;hay houda;935000.0;69.0;;2.0;2.0;3.0;0;1;1;1;1;agadir_hay houda;30.399277;-9.5380547;12;3;30;6;2;0;15202.939513849631;-0.4007898467342485;True;False;False;False;False;False;False;False;False
agadir;hay salam;850000.0;83.0;;2.0;1.0;3.0;0;0;1;0;0;agadir_hay salam;30.4018377;-9.548865;14;3;46;7;7;0;10546.175373134329;-0.18784581029199887;True;False;False;False;False;False;False;False;False
agadir;founti;2290000.0;102.0;;2.0;1.0;3.0;1;1;1;1;1;agadir_founti;30.3958144;-9.5807517;11;1;21;2;4;2;16885.607697767962;-0.35022935950064626;True;False;False;False;False;False;False;False;False
